c,sdat,d
0,1577,1
0,1547,0.999999999999999
0,1535,0.999999999999999
1,1594,1
1,1555,1
0,1526,1
1,1555,1
1,1533,1
1,1539,1
1,1551,1
0,1494,0.999999999999999
0,1478,0.999999999999999
1,1563,0.999999999999999
1,1530,1
1,1515,1
1,1530,1
1,1533,1
1,1532,1
1,1538,1
1,1510,1
1,1550,0.999999999999999
1,1530,1
1,1529,1
1,1527,1
1,1549,1
1,1519,1
1,1532,1
1,1500,1
1,1499,0.999999999999999
1,1499,0.999999999999999
1,1500,1
1,1487,1
1,1507,0.999999999999999
1,1486,1
0,1467,1
1,1537,0.999999999999998
1,1515,1
1,1495,0.999999999999999
1,1484,1
1,1466,0.999999999999999
1,1483,1
1,1502,0.999999999999999
1,1505,1
1,1472,1
1,1522,1
1,1498,1
0,1437,1
1,1490,1
1,1459,1
1,1490,1
0,1429,1
1,1469,1
1,1450,0.999999999999999
0,1440,1
1,1478,0.999999999999999
1,1480,1
1,1520,0.999999999999999
1,1481,0.999999999999999
1,1468,0.999999999999999
1,1485,1
1,1483,1
1,1472,1
1,1434,1
1,1454,1
1,1495,0.999999999999999
1,1424,0.999999999999999
1,1441,1
1,1418,1
0,1407,1
1,1446,1
1,1425,1
1,1453,0.999999999999999
1,1430,1
1,1425,1
1,1442,1
1,1415,1
1,1434,1
1,1411,1
1,1411,1
0,1348,1
1,1426,1
1,1426,1
1,1399,1
1,1468,0.999999999999999
0,1376,1
1,1424,0.999999999999999
1,1466,0.999999999999999
1,1417,1
1,1401,0.999999999999999
1,1430,1
1,1405,1
1,1444,1
1,1430,1
1,1447,0.999999999999999
0,1375,1
0,1345,1
1,1427,1
1,1381,0.999999999999999
1,1401,0.999999999999999
0,1372,1
1,1393,1
0,1355,1
1,1395,0.999999999999999
0,1345,1
1,1380,1
1,1398,1
1,1392,0.999999999999999
1,1373,1
1,1381,0.999999999999999
0,1363,1
1,1380,1
1,1411,1
1,1416,1
1,1408,1
1,1400,0.999999999999999
1,1362,1
1,1383,1
0,1315,1
0,1334,1
1,1384,0.999999999999999
1,1386,1
1,1395,0.999999999999999
1,1404,1
1,1389,0.999999999999999
1,1358,0.999999999999999
1,1357,1
1,1410,1
1,1354,1
1,1350,1
1,1411,1
1,1373,1
1,1357,1
0,1321,1
1,1357,1
0,1329,1
1,1355,1
1,1330,1
1,1336,1
1,1353,1
0,1313,1
1,1336,1
1,1350,1
1,1383,1
1,1328,1
0,1295,1
1,1356,1
1,1325,1
1,1363,1
1,1365,1
1,1355,1
1,1310,1
0,1269,1
1,1304,1
1,1371,1
1,1326,1
1,1352,1
1,1330,1
1,1347,1
0,1288,0.999999999999999
1,1341,1
1,1399,1
1,1314,1
1,1301,1
0,1276,1
1,1288,0.999999999999999
1,1299,1
1,1296,1
1,1341,1
1,1306,1
1,1327,1
1,1338,1
1,1284,0.999999999999999
1,1328,1
1,1301,1
1,1281,1
1,1336,1
1,1299,1
1,1317,1
1,1270,1
0,1247,1
1,1270,1
1,1272,0.999999999999999
1,1304,1
0,1240,1
1,1263,1
0,1219,1
